code: stationname quality area wgs
3058: JVP3058 1.0 30096 60183642500334
3059: JVP3059 1.0 636663 60193222501296
3060: JVP3060 1.0 290995 60164492507137
3062: JVP3062 1.0 452648 60173152502599
3063: JVP3063 1.0 561316 60180742449456
3064: JVP3064 1.0 1737606 60205712454088
3065: JVP3065 1.0 293322 60170192451172
3066: JVP3066 1.0 46894 60172422502378
3067: JVP3067 1.0 518217 60174662507510
3068: JVP3068 1.0 584574 60145362507167
3069: JVP3069 1.0 730482 60180702507440
3070: JVP3070 1.0 235839 60183012506330
3071: JVP3071 1.0 230405 60161752505295
3072: JVP3072 1.0 1092731 60161092452362
3073: JVP3073 1.0 146558 60164032458505
3074: JVP3074 1.0 429161 60170072452454
3075: JVP3075 1.0 485894 60163622452513
3077: JVP3077 1.0 889546 60182632505400
3078: JVP3078 1.0 166270 60181602502542
3079: JVP3079 1.0 109385 60164452454289
3080: JVP3080 1.0 376055 60194752500254
3081: JVP3081 1.0 35574 60215502505583
3085: JVP3085 1.0 60421 60214862506044
3086: JVP3086 1.0 52005 60171512459173
3088: JVP3088 1.0 188699 60191852506346
3089: JVP3089 1.0 186022 60214862505152
3091: JVP3091 1.0 533699 60193792449577
3092: JVP3092 1.0 18723 60210982506340
3093: JVP3093 1.0 214995 60163852505044
3094: JVP3094 1.0 8465 60210232503553
3095: JVP3095 1.0 49973 60165002505080
3096: JVP3096 1.0 174313 60172082507368
3098: JVP3098 1.0 221234 60172112459595
3100: JVP3100 1.0 3108588 60163982447389
3109: JVP3109 1.0 537936 60143802506056
3110: JVP3110 1.0 135531 60175842454551
3111: JVP3111 1.0 35642 60170452458509
3113: JVP3113 1.0 6387 60221062505057
3114: JVP3114 1.0 207730 60175182447189
3117: JVP3117 1.0 155900 60212952508517
3122: JVP3122 1.0 1929756 60175152453287
3124: JVP3124 1.0 25037 60154302450119
3125: JVP3125 1.0 496026 60201272450134
3127: JVP3127 1.0 201132 60194872505248
3127: JVP3127 1.0 25790 60194872505248
3128: JVP3128 1.0 30446 60172762452074
3130: JVP3130 1.0 932939 60164582457296
3131: JVP3131 1.0 91924 60173692451583
3132: JVP3132 1.0 64818 60202772507389
3133: JVP3133 1.0 1102491 60192652454182
3134: JVP3134 1.0 57173 60213142505529
3135: JVP3135 1.0 64613 60191932454564
3136: JVP3136 1.0 462095 60193302455062
3137: JVP3137 1.0 277343 60185982505581
3138: JVP3138 1.0 89617 60173172452139
3139: JVP3139 1.0 52995 60191792452031
3140: JVP3140 1.0 105966 60191252452186
3142: JVP3142 1.0 12183 60193312503537
3144: JVP3144 1.0 374245 60201942506252
3145: JVP3145 1.0 144081 60171822447217
3146: JVP3146 1.0 225503 60161242457386
3148: JVP3148 1.0 145478 60171052453485
3150: JVP3150 1.0 153113 60173872447088
3153: JVP3153 1.0 95101 60175312447285
3155: JVP3155 1.0 153803 60162282457249
3157: JVP3157 1.0 129077 60192352451024
3158: JVP3158 1.0 26696 60163642505472
3159: JVP3159 1.0 316419 60184862506348
3160: JVP3160 1.0 260371 60202772449537
3161: JVP3161 1.0 430499 60161922506331
3162: JVP3162 1.0 64555 60203852449576
3163: JVP3163 3.0 3871787 60170522450100
3164: JVP3164 2.0 197317 60210042450218
3165: JVP3165 1.0 104738 60160942457563
